opus_no,subpanel,coordinator_title,institution,name_short
3,HS6,bsd,"Uniwersytet Warszawski, Wydział Psychologii",Funkcjonalna dekompozycja procesu dostępu leksykalnego - badania przy użyciu potencjałów EEG związanych ze zdarzeniem...
8,HS6,bsd,Instytut Psychologii PAN,Badanie neuronalnych mechanizmów kompulsywnych zachowań seksualnych.
7,HS6,bsd,"Akademia Pedagogiki Specjalnej im. Marii Grzegorzewskiej, Wydział Nauk Pedagogicznych",Forma kształcenia a trajektorie rozwoju teorii umysłu
12,HS6,bsd,"Akademia Pedagogiki Specjalnej im. Marii Grzegorzewskiej, Wydział Nauk Pedagogicznych",Konsekwencje rozwoju teorii umysłu u dzieci w okresie średniego dzieciństwa - badanie podłużne
14,HS6,bsd,"Uniwersytet Warszawski, Instytut Studiów Społecznych im. prof. Roberta B. Zajonca, Instytut Studiów Społecznych im. prof. Roberta B. Zajonca","Rewolucja, której nie było. Mobilizacja polityczna i procesy państwotwórcze na poimperialnych pograniczach. Polska i Fin..."
14,NZ8,bsd,"Uniwersytet Jagielloński, Wydział Biologii, Wydział Biologii",Związek pomiędzy zmiennością receptorów toll-like a występowaniem zakażeń wywołanych przez pasożytnicze pierwotniaki na ...
14,NZ8,bsd,"Wydział Biologii i Ochrony Środowiska, Wydział Biologii i Ochrony Środowiska","""Czuję więc jestem"" - morfologia i ultrastruktura sensilli czułkowych mszyc (Hemiptera: Aphidomorpha) oraz ich znaczenie..."
14,ST10,bsd,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Nauk Geograficznych i Geologicznych, Wydział Nauk Geograficznych i Geologicznych",Analiza warunków atmosferycznych odpowiedzialnych za powstawanie zjawisk burzowych na terenie Europy: porównanie paramet...
14,ST4,bsd,"Interdyscyplinarne Centrum Nowoczesnych Technologii, Interdyscyplinarne Centrum Nowoczesnych Technologii",Synteza kompleksowych związków srebra i cynku na bazie kazein i białek serwatki oraz nanocząstek srebra i tlenku cynku p...
15,HS4,bsd,"Wydział Zarządzania, Wydział Zarządzania",Jakość decyzji w procesie innowacyjnym w przedsiębiorstwach biotechnologicznych
15,NZ3,bsd,"Wydział Biologii, Wydział Biologii",Wpływ zmian w dystrybucji auksyn na zahamowanie wzrostu roślin w warunkach żywienia amonowego
4,ST5,bsd,Instytut Technologii Materiałów Elektronicznych,Synteza i badania wpływu otoczenia krystalicznego na przejścia optyczne wybranych domieszek we włóknach krystalicznych Y...
11,ST4,bsd,"Uniwersytet Mikołaja Kopernika, Wydział Chemii","Nowe podejście w identyfikacji patogenów za pomocą sprzężonych technik separacyjnych (CE-LIF-MALDI-TOF-MS, LCxLC-MS/MS, ..."
8,NZ8,bsd,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Biologii, Wydział Biologii",Wpływ indukowanych mutacji oraz chowu wsobnego na cechy osobowości gupika.
8,ST8,bsd,"Politechnika Wrocławska, Wydział Architektury, Wydział Architektury","Nowe nurty w architekturze przezroczystych fasad - eksperymenty formalne, innowacje technologiczne"
13,HS6,bsd,"Uniwersytet Warszawski, Wydział Psychologii",Przyczyny i konsekwencje zbiorowego działania na rzecz i przeciwko grupom obcym
13,NZ1,bsd,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Biologii",Nowa rola białka ARGONAUTE1 w biogenezie miRNA oraz splicingu pre-mRNA u Arabidopsis thaliana
13,NZ8,bsd,Instytut Ochrony Przyrody Polskiej Akademii Nauk,Wpływ wewnątrz- i międzygatunkowych interakcji na cechy historii życiowych i fizjologicznych w obliczu zmian klimatu
14,HS1,bsd,"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie, Wydział Filozofii Chrześcijańskiej, Wydział Filozofii Chrześcijańskiej",Koncepcja odniesienia językowego oparta na pojęciu wyróżnienia
15,HS6,bsd,"Wydział Nauk Pedagogicznych, Wydział Nauk Pedagogicznych",Zagrożenie stereotypem a funkcjonowanie szkolne uczniów. Analiza jawnego i ukrytego programu edukacji
16,HS2,bsd,"Wydział Anglistyki, Wydział Anglistyki",Sztuka a polityka: polsko-holenderska wymiana kulturalna w okresie zimnej wojny (1945-1989) w obliczu polityki zagranicz...
16,HS6,bsd,"Uniwersytet Warszawski, Wydział Pedagogiczny, Wydział Pedagogiczny",Teoria umysłu idzie do szkoły. Klasa włączająca jako środowisko sprzyjające rozwojowi teorii umysłu u dzieci pełnosprawn...
5,HS3,bsd,Muzeum Archeologiczne w Krakowie,Transkarpackie relacje kulturowe społecznosci kultury badeńskiej z obszarów dorzecza górnej Wisły i słowackiej części Po...
8,HS6,bsd,"Uniwersytet Warszawski, Wydział Psychologii, Wydział Psychologii",Predyktory auto-identyfikacji politycznej - badania przekrojowe z wykorzystaniem bayesowskich metod ustalania inwariancj...
13,ST7,bsd,"Politechnika Warszawska, Wydział Mechatroniki",Numerycznie zaawansowana demodulacja fazy i amplitudy na potrzeby interferencyjnej mikroskopii optycznej z elementami to...
14,HS1,bsd,"Uniwersytet Jagielloński, Wydział Filozoficzny, Wydział Filozoficzny",Filozoficzna Analiza Współmierności Dostosowania. Case Study: Ewolucja Indywidualności
15,NZ1,bsd,Instytut Biochemii i Biofizyki Polskiej Akademii Nauk,Analiza zależności funkcjonalnej pomiędzy organo-specyficznym wyborem alternatywnych miejsc startu transkrypcji (altTSS)...
16,HS1,bsd,"Wydział Filozofii i Socjologii, Wydział Filozofii i Socjologii",Algorytmiczne modele predykcji: własności formalne i konsekwencje filozoficzne
16,HS6,bsd,Instytut Psychologii Polskiej Akademii Nauk,Jak samotność wpływa na przetwarzanie informacji społecznych? Od aktywności neuronalnej przez markery fizjologiczne do c...
16,ST10,bsd,Instytut Oceanologii Polskiej Akademii Nauk,Zmiany pokrywy lodowej w Morzach Nordyckich od końca ostatniego zlodowacenia. Paleogenetyczny zapis zmian klimatu.
1,HS1,dr,"Uniwersytet Gdański, Wydział Nauk Społecznych",Odnowa czy herezja? Stosunek fenomenologii współczesnej do klasycznej filozofii Edmunda Husserla
8,HS6,dr,"Uniwersytet Jagielloński, Wydział Filozoficzny, Wydział Filozoficzny",Mózgowe mechanizmy kontroli emocjonalnej. Integracyjna rola kory przedczołowej w automatycznych i wolicjonalnych procesa...
10,NZ9,dr,"Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie, Wydział Technologii Żywności",Ocena wpływu warunków fermentacji etanolowej na stężenie i profil związków lotnych
10,NZ8,dr,Instytut Oceanologii Polskiej Akademii Nauk,"Funkcjonowanie zespołów bentosowych w strefie występowania lodu morskiego w zmieniającym się Oceanie Arktycznym, w okres..."
10,HS6,dr,"Uniwersytet Jagielloński, Wydział Zarządzania i Komunikacji Społecznej",Poznanie społeczne i autoregulacja interpersonalna w narcyzmie
1,NZ4,dr,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Biologii",Wpływ środowiska na poziom ekspresji i zróżnicowanie izoform akwaporyn u wybranych przedstawicieli mięczaków
1,ST10,dr,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Nauk Geograficznych i Geologicznych","Określenie zmian układu koryta w środkowym odcinku Obry przy zastosowaniu analizy zdjęć satelitarnych, lotniczych oraz m..."
1,HS2,dr,"Krakowska Akademia im. Andrzeja Frycza Modrzewskiego, Wydział Psychologii i Nauk Humanistycznych","""Zrujnowane"" ciała (e)migrantek, turystek i podróżniczek we współczesnej prozie polskiej (1989-2010). Analiza wątków mig..."
4,HS1,dr,"Uniwersytet Warszawski, Wydział Filozofii i Socjologii",Deskrypcje nieokreślone. Dwuwymiarowy model znaczenia z typami
1,HS2,dr,"UNIWERSYTET WARSZAWSKI, Wydział Historyczny","""Księga Judyty"" w oratoriach włoskich epoki baroku (1621-ok.1750)"
1,HS4,dr,"Uniwersytet Ekonomiczny we Wrocławiu, Wydział Zarządzania, Informatyki i Finansów",Prognozowanie trudności finansowych w przedsiębiorstwie z wykorzystaniem cykli koniunkturalnych
2,HS4,dr,"Uniwersytet Ekonomiczny we Wrocławiu, Wydział Zarządzania, Informatyki i Finansów",Identyfikacja i analiza wpływu technologii społecznych oraz mobilnych na kształt współczesnych modeli marketingowych...
2,HS4,dr,"Uniwersytet Ekonomiczny we Wrocławiu, Wydział Zarządzania, Informatyki i Finansów",Samoocena i pomiar wyników działalności audytu wewnętrznego w jednostkach sektora finansów publicznych
1,NZ2,dr,"Uniwersytet Jagielloński, Wydział Biologii i Nauk o Ziemi",Filogeneza mitochondrialnego DNA żab zielonych (Pelophylax) w obrębie Basenu Morza Śródziemnego.
2,HS1,dr,Collegium Civitas,Wspólnoty wyspowe XX wieku - modelowy przypadek Spinalongi (1903-1957)
1,HS5,dr,"Uniwersytet Łódzki, Wydział Prawa i Administracji",Czarna lista nieuczciwych praktyk handlowych a granice prawa zwalczania nieuczciwej konkurencji w Unii Europejskiej - an...
2,ST10,dr,"UNIWERSYTET WROCŁAWSKI, Wydział Nauk o Ziemi i Kształtowania Środowiska",Ultramaficzne i maficzne ksenolity z kenozoicznych wulkanitów jako źródło informacji o płaszczu Ziemi pod środkową Europ...
9,ST10,dr,"Uniwersytet Wrocławski, Wydział Nauk o Ziemi i Kształtowania Środowiska",Kolumnowa zawartość pary wodnej (PWAT) jako predyktor ekstremalnych zjawisk pogodowych w Polsce w świetle wieloźródłowyc...
1,NZ4,dr,"Uniwersytet Łódzki, Wydział Biologii i Ochrony Środowiska",Personalizacja leczenia przewlekłej białaczki limfocytowej
1,NZ4,dr,"Gdański Uniwersytet Medyczny, Wydział Farmaceutyczny z Oddziałem Medycyny Laboratoryjnej",Fluorowane analogi marsanidyny i 4-chloroindazimu jako znaczniki dla potencjalnych zastosowań w PET
1,ST5,dr,"Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego, Wydział Nowych Technologii i Chemii",Długofalowe niechłodzone detektory podczerwieni z HgCdTe pracujące w warunkach nierównowagowych
1,ST1,dr,"Uniwersytet Warszawski, Wydział Matematyki, Informatyki i Mechaniki",Funktory ściśle wielomianowe i hipoteza Lusztiga.
1,ST8,dr,Instytut Budownictwa Wodnego PAN,Transmisja nieliniowych fal powierzchniowych przez falochron pneumatyczny
3,HS3,dr,"Uniwersytet Wrocławski, Wydział Nauk Historycznych i Pedagogicznych",Krzemieniarstwo nieznane. Skandynawskie domy kultowe późnej epoki brązu
1,HS3,dr,Instytut Archeologii i Etnologii Polskiej Akademii Nauk,Słownik historyczno-archeologiczny wsi śląskich w średniowieczu
1,ST4,dr,"Uniwersytet Warszawski, Wydział Chemii",Zastosowanie mono- i multiwarstw modyfikowanych nanocząstek złotych do konstrukcji czujników
1,ST1,dr,"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie, Wydział Matematyki Stosowanej",Strukturalne własności systemów trójek
1,NZ3,dr,"Szkoła Główna Gospodarstwa Wiejskiego w Warszawie, Wydział Rolnictwa i Biologii, Katedra Botaniki",Analiza interakcji pomiędzy elementami cytoszkieletu i składnikami szlaków transportu pęcherzykowego w syncytiach zaindu...
1,HS5,dr,"Uniwersytet w Białymstoku, Wydział Prawa",Wpływ regulacji dotyczących udzielania pomocy publicznej na stanowienie i stosowanie prawa podatkowego w Polsce
1,HS4,dr,"Politechnika Gdańska, Wydział Zarządzania i Ekonomii","Dyskryminacja płacowa ze wzgledu na płeć: stan, przyczyny i skutki - analiza sektorowego zróżnicowania wynagrodzeń w kra..."
1,ST10,dr,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Nauk Geograficznych i Geologicznych",Zapis fal tsunami i przewracających się gór lodowych w przybrzeżnych środowiskach limnicznych Grenlandii - implikacje dl...
5,ST10,dr,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Nauk Geograficznych i Geologicznych","Skutki impaktu meteorytowego w nieskonsolidowane osady - przykład deszczu meteorytów żelaznych ""Morasko"", Polska"
3,HS4,dr,"Uniwersytet Gdański, Wydział Ekonomiczny",Behawioralne aspekty oddziaływania niepewności na decyzje inwestycyjne w przedsiębiorstwach
1,HS6,dr,"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie, Wydział Humanistyczny",Reprodukowanie wzorów kobiecości i męskości przez świeckich w organizacjach administracyjno-ewangelizacyjnych Kościoła r...
11,ST10,dr,"Uniwersytet Śląski w Katowicach, Wydział Nauk o Ziemi",Wpływ pożarów kopalnych na skład geochemiczny i mineralny skał węglonośnych SW części Górnośląskiego Zagłębia Węglowego...
1,ST8,dr,"Politechnika Wrocławska, Wydział Chemiczny",Badania trwałości mostków cieczowych w układzie trójfazowym olej-woda-ciało stałe
5,HS4,dr,"Uniwersytet Ekonomiczny w Poznaniu, Wydział Informatyki i Gospodarki Elektronicznej",Istnienie i algorytm wyznaczania równowagi w prostym modelu wymiany. Przypadek wielowartościowy
5,NZ8,dr,"Uniwersytet Wrocławski, Wydział Nauk Biologicznych",Porównanie metod biomonitoringu aktywnego i pasywnego z użyciem mchu Pleurozium schreberi (Brid.) Mitt. w bioindykacji s...
11,ST8,dr,"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie, Wydział Inżynierii Materiałowej i Ceramiki",Nanokompozyty poliacetalowe zawierające hybrydowy nieorganiczno-organiczny napełniacz na bazie hydroksyapatytu do potenc...
1,HS4,dr,"Uniwersytet Ekonomiczny w Poznaniu, Wydział Zarządzania",Premia za ryzyko inwestycji w akcje na polskim rynku kapitałowym
1,NZ6,dr,"Uniwersytet Śląski w Katowicach, Wydział Biologii i Ochrony Środowiska",Badania znaczenia lektyny wiążącej mannan w młodzieńczym idiopatycznym zapaleniu stawów związanym z zakażeniami Yersinia...
1,NZ9,dr,"Uniwersytet Przyrodniczy w Poznaniu, Wydział Nauk o Żywności i Żywieniu",Drogi powstawania związków zapachowych w polskich regionalnych produktach mleczarskich wytwarzanych według tradycyjnej t...
8,HS4,dr,"Politechnika Śląska, Wydział Organizacji i Zarządzania",Wykorzystanie automatów komórkowych do modelowania procesów przywództwa w organizacjach
1,HS4,dr,WYŻSZA SZKOŁA BIZNESU - NATIONAL LOUIS UNIVERSITY NOWY SĄCZ,Zarządzanie zasobami ludzkimi w organizacji zorientowanej procesowo
1,HS4,dr,"Uniwersytet Warszawski, Wydział Nauk Ekonomicznych",Dogonić nowowczesność. Sukcesy i niepowodzenia polityki modernizacji na ziemiach polskich od roku 1800 do dziś
3,HS4,dr,"Uniwersytet Warszawski, Wydział Nauk Ekonomicznych",Identyfikacja i pomiar kosztów zmiany dostawcy na rynkach z efektami sieciowymi metodą modelowania preferencji zadeklaro...
7,HS4,dr,"Uniwersytet Warszawski, Wydział Nauk Ekonomicznych",Czas podejmowania decyzji w eksperymentach ekonomicznych nad zachowaniami w warunkach ryzyka i zachowaniami kooperacyjny...
1,HS4,dr,"Szkoła Główna Gospodarstwa Wiejskiego w Warszawie, Wydział Nauk Ekonomicznych",Kapitał społeczny jako warunek tworzenia się grup producentów rolnych w Polsce
7,HS4,dr,"Uniwersytet Warszawski, Wydział Nauk Ekonomicznych",Reguły formalne a reguły faktyczne w badaniach ekonomicznych nad konstytucjami krajów postsocjalistycznych
1,HS4,dr,"Uniwersytet Ekonomiczny w Krakowie, Wydział Zarządzania",Hybrydowe modele predykcyjne w marketingu relacji
7,ST1,dr,"AKADEMIA GÓRNICZO-HUTNICZA IM. STANISŁAWA STASZICA W KRAKOWIE, Wydział Matematyki Stosowanej",Addytywne kolorowania grafów
1,HS4,dr,"Uniwersytet Przyrodniczo-Humanistyczny w Siedlcach, Wydział Zarządzania",Synergia a kapitał społeczny współczesnych organizacji
1,ST10,dr,"Uniwersytet Przyrodniczy w Poznaniu, Wydział Melioracji i Inżynierii Środowiska",Wpływ wód kopalnianych z odkrywek węgla brunatnego na zmiany jakości i stanu ekologicznego wód oraz chemizmu osadów rzec...
1,HS4,dr,"Wyższa Szkoła Finansów i Zarządzania w Warszawie, Wydział Zarządzania i Finansów",Kierunki zmian w procesach oszczędzania gospodarstw domowych - perspektywa międzynarodowa
3,HS2,dr,"Uniwersytet Warszawski, Wydział Polonistyki",Josip Broz Tito - od spektaklu władzy do teatru pamięci
1,HS4,dr,"Uniwersytet Ekonomiczny w Katowicach, Wydział Zarządzania","Rozwój sektora usług profesjonalnych - umiędzynarodowienie, usieciowienie i dyfuzja wiedzy"
2,HS4,dr,"Instytut Badań Rynku, Konsumpcji i Koniunktur",Rynek produktów Sprawiedliwego Handlu w Polsce
1,HS5,dr,"Uniwersytet Śląski w Katowicach, Wydział Prawa i Administracji",Policja sanitarna - zagadnienia administracyjnoprawne
12,HS5,dr,"Uniwersytet Łódzki, Wydział Studiów Międzynarodowych i Politologicznych",Ewolucja rdzenia egzekutywy za rządów premiera Abe w Japonii
2,HS5,dr,"Uniwersytet Jagielloński, Wydział Studiów Międzynarodowych i Politycznych","Wpływ prawosławia na przemiany kultury politycznej na Białorusi, Ukrainie oraz na obszarze jurysdykcji Patriarchatu Serb..."
1,ST10,dr,"UNIWERSYTET GDAŃSKI, WYDZIAŁ BIOLOGII (telefon: 058 523 64 41, fax: 058 523 64 03, e-mail: dziekanat@biologia.ug.gda.pl, www.biology.ug.gda.pl)",Przemiany ekosystemów wodno-bagiennych i ekspansja roślinności antropogenicznej na terenie Gdańska od V do VII wieku w o...
1,HS5,dr,"Uniwersytet Ekonomiczny we Wrocławiu, Wydział Nauk Ekonomicznych",Międzysektorowe instrumenty realizacji zadań publicznych a polityka społeczna
2,ST9,dr,Centrum Astronomiczne im. Mikołaja Kopernika PAN,Spektroskopia układów zaćmieniowych i jej wielorakie zastosowanie w precyzyjnym wyznaczaniu parametrów gwiazdowych.
11,HS1,dr,"Uniwersytet Gdański, Wydział Oceanografii i Geografii",Krzyże powypadkowe przy polskich drogach
1,ST9,dr,Centrum Astronomiczne im. Mikołaja Kopernika PAN,Badanie ośrodka międzygwiazdowego - obserwacje instrumentem HERSCHEL/HIFI
12,ST9,dr,"Uniwersytet Warmińsko-Mazurski w Olsztynie, Wydział Geodezji, Inżynierii Przestrzennej i Budownictwa",Ewolucja gwiazd centralnych wyznaczona za pomocą obserwowanych zmian strumieni mgławic planetarnych
1,ST10,dr,"Uniwersytet Warszawski, Wydział Geografii i Studiów Regionalnych","Funkcjonowanie dolin walnych w górach wysokich w klimacie suchym (na przykładzie doliny Dades, Atlas Wysoki)"
1,NZ4,dr,"Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu, Wydział Nauk o Zdrowiu",Wpływ polimorfizmu pojedynczych nukleotydów (SNP) w genie podjednostki beta ludzkiej gonadotropiny kosmówkowej na jej ek...
1,NZ1,dr,Instytut Biochemii i Biofizyki PAN,Analiza funkcji białek z rodziny RCF- potencjalnych receptorów błonowych szlaku giberelinowego u Arabidopsis ze szczegól...
6,NZ1,dr,Instytut Biochemii i Biofizyki PAN,Analiza funkcji kompleksów remodelujących chromatynę typu SWI/SNF w kontroli procesów metabolicznych
3,HS2,dr,"Uniwersytet Jagielloński, Wydział Historyczny",Sztuka kolonii genueńskich w Basenie Morza Czarnego (1261-1475). Z badań nad zagadnieniem akulturacji w sztuce późnośred...
1,ST8,dr,Centrum Badań Molekularnych i Makromolekularnych PAN,Optymalizacja morfologii i wlasnosci nanokompozytow na bazie polimerow czesciowokrystalicznych w warunkach technologiczn...
11,HS6,dr,"Akademia Pedagogiki Specjalnej im. Marii Grzegorzewskiej, Wydział Stosowanych Nauk Społecznych","Wskazówki społeczne kształtujące emocjonalne, fizjologiczne i behawioralne reakcje na wykluczenie: zaangażowanie, inform..."
1,NZ4,dr,Instytut Medycyny Doświadczalnej i Klinicznej im. Mirosława Mossakowskiego PAN,"Ocena ludzkich komórek somatycznych pochodzących z Galarety Whartona, przeszczepianych w postaci trójwymiarowych agregat..."
9,ST2,dr,"Uniwersytet Warszawski, Wydział Fizyki",Spektroskopia jądrowa na granicach stabilności
2,NZ9,dr,"Uniwersytet Przyrodniczy w Poznaniu, Wydział Nauk o Żywności i Żywieniu",Identyfikacja produktów termicznej i oksydacyjnej degradacji estrów fitosteroli.
2,HS2,dr,UNIWERSYTET JAGIELLOŃSKI,Komedia dell'arte - myśl teoretyczna i praktyka sceniczna (studium krytyczno-analityczne z antologią tekstów)
1,NZ4,dr,"Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu, Wydział Lekarski II",Ocena aktywności sztucznej cytokiny Hyper IL-11 (H11) w procesie megakariocytopoezy i tworzenia płyek krwi.
2,ST10,dr,"Uniwersytet Warszawski, Wydział Geologii",Geochemiczny zapis wahań klimatyczno-środowiskowych interglacjału mazowieckiego w muszlach ślimaka Viviparus diluvianus ...
2,HS2,dr,"Uniwersytet im. Adama Mickiewicza, Wydział Historyczny",Relacje władzy i strategie autentyczności w turystyce. Ujęcie postkolonialne na przykładzie Indii
2,HS2,dr,Biblioteka Narodowa (Centralna Biblioteka Państwa),Recepcja antycznej ikonografii monetarnej w XVI- wiecznych książkach emblematycznych i traktatach symbolicznych
2,NZ6,dr,"Instytut ""Centrum Zdrowia Matki Polki""",Badanie znaczenia czynników aktywacji dopełniacza na drodze lektynowej dla rozwoju powikłań po zabiegach korekcji wad wr...
2,NZ9,dr,Szkoła Główna Gospodarstwa Wiejskiego w Warszawie,Ekspresja miRNA w komórkach satelitowych mięśni szkieletowych oraz jej wpływ na proces miogenezy u buhajów ras bydła o r...
2,HS4,dr,"Wyższa Szkoła Bankowa w Poznaniu, Wydział Finansów i Bankowości",Współzależności między prognozami inflacji a oczekiwaniami inflacyjnymi podmiotów gospodarczych. Wnioski dla banków cent...
2,HS2,dr,"UNIWERSYTET ŁÓDZKI, Wydział Filologiczny Uniwersytetu Łódzkiego",Krytyczny wymiar sztuki nowych mediów
7,NZ8,dr,"Uniwersytet Jagielloński, Wydział Biologii i Nauk o Ziemi",Eksperymentalna analiza roli doboru pozytywnego w ewolucji białek u drożdży.
2,ST8,dr,"Uniwersytet Zielonogórski, Wydział Elektrotechniki, Informatyki i Telekomunikacji",Badania własciwości interfejsów energoelektronicznych bez magazynu energii elektrycznej typu DC w systemach smart grid....
11,NZ8,dr,Instytut Paleobiologii im. Romana Kozłowskiego Polskiej Akademii Nauk,Późnokredowa ekspansja roślin kwiatowych na tle transgresji morza środkowoeuropejskiego
2,ST3,dr,INSTYTUT TECHNOLOGII MATERIAŁÓW ELEKTRONICZNYCH,Badanie generacji i propagacji plazmonów-polarytonów w periodycznych podfalowych metalowo-dielektrycznych strukturach św...
9,HS4,dr,"Fundacja Centrum Analiz Ekonomicznych, CenEA","Ćwierć wieku później: długookresowe konsekwencje ""terapii szokowej"" na poziomie indywidualnym."
2,NZ4,dr,Instytut Biologii Doświadczalnej im. M. Nenckiego PAN,Rejony mózgu pośredniczące w zmianach wywołanych środkami przeciwpsychotycznymi w aktywności oscylacyjnej w jądrze półle...
2,HS3,dr,Instytut Archeologii i Etnologii PAN,Doświadczenie przeszłości. Antropologiczne studium reprezentacji historii w polskiej kulturze współczesnej
2,HS3,dr,Polska Akademia Umiejętności,"Diariusz podróży Jana Michała Kossowicza ""Peregrynacja do cudzych krajów [...] Jana i Aleksandra Jabłonowskich wojewodzi..."
1,ST10,dr,"Uniwersytet Warmińsko-Mazurski w Olsztynie, Wydział Ochrony Środowiska i Rybactwa",Biologicznie dostępny fosfor jako potencjalne źródło zasilania wewnętrznego w jeziorach zmienionych antropogenicznie...
2,NZ9,dr,"Uniwersytet Przyrodniczy we Wrocławiu, Wydział Medycyny Weterynaryjnej","Badania nad wpływem niskich temperatur na kompetencje rozwojowe zarodków poddawanych witryfikacji, jako jednej ze strate..."
7,ST10,dr,"Uniwersytet Gdański, Wydział Oceanografii i Geografii",Remobilizacja rtęci z lądu do morza pod wpływem intensywnych zjawisk meteorologiczno-hydrologicznych
2,NZ1,dr,Instytut Biochemii i Biofizyki Polskiej Akademii Nauk,Znaczenie ścieżki sygnalnej etylenu w regulacji przyswajania siarki w roślinach Arabidopsis thaliana.
4,HS5,dr,Instytut Nauk Prawnych PAN,Środki kontroli wyrobów rynku tytoniowego w prawie międzynarodowym: w poszukiwaniu równowagi pomiędzy sprzecznymi intere...
2,NZ4,dr,Instytut Biologii Medycznej PAN,Efekt receptorowego oddziaływania L- i D-mleczanu na komórki raka szyjki macicy. Modulacja przez mleczan naprawy uszkodz...
9,ST4,dr,Instytut Chemii Fizycznej PAN,Astrochemia związków siarki: sieć reakcje i spektroskopia
3,NZ1,dr,Instytut Fizyki PAN,Białka wielodomenowe i multimerowe: zgłebianie ich struktur i mechaniki
3,ST10,dr,"Politechnika Śląska, Wydział Inżynierii Środowiska i Energetyki","Ocena form występowania wybranych pierwiastków śladowych w pyle całkowitym (TSP), pyle zawieszonym (PM10) i we frakcji r..."
3,HS2,dr,"Uniwersytet Wrocławski, Wydział Filologiczny","Teoria literatury i estetyka psychologiczna w świetle ""Wykładów ze stylistyki [i] historii literatury"" Kazimierza Wóycic..."
3,HS4,dr,"Uniwersytet Łódzki, Wydział Ekonomiczno-Socjologiczny",Inwestowanie w malarstwo na rynku finansowym
